ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
Humancoin,HUMA,Ethereum,ERC20,UK,26000000 USD,6000000 USD,6607055 USD,N/A,100000000 USD,85%,VERY HIGH,-,-,-,-,9,Benchy,4.6,10,4.4,4.7,4.5,9.3,-,4.5,2018-11-01
Wemark,WMK,Ethereum,ERC20,Israel,16750 ETH,3250 ETH,,675000,325000 ETH,48%,MEDIUM,MEDIUM,MEDIUM,-,-,9,Benchy,4.4,10,3.7,3.8,4.7,N/A,4.6,4.0,2018-08-27
EVO,ETALON,N/A,N/A,N/A,8500000 USD,4000000 USD,,400000000,850000000 USD,N/A,-,-,-,-,-,N/A,Benchy,5.0,N/A,4.7,4.9,4.4,8.9,-,4.4,2018-09-15
FlipNpik,FNP,Ethereum,ERC20,France,"20,000,000 EUR",N/A,,N/A,N/A,100%,VERY HIGH,HIGH,HIGH,-,-,8,Benchy,4.5,10,4.5,4.4,4.2,8.6,-,4.3,2018-12-31
Centive,XTV,Ethereum,ERC20,British Virgin Islands,35000000 USD,N/A,,3500000000,3500000000 USD,N/A,VERY HIGH,VERY LOW,VERY LOW,VERY LOW,-,10,Benchy,2.6,10,2.8,2.7,3.0,9.5,-,3.0,2018-11-01
DreamTeam,DREAM,N/A,N/A,N/A,21000000 USD,2000000 USD,10106035 USD,N/A,1500000000 USD,67%,-,MEDIUM,MEDIUM,-,-,N/A,Benchy,4.4,N/A,3.9,3.9,-,-,-,4.0,2018-05-19
Kleros,PNK,Ethereum,ERC20,France,N/A,N/A,2501733 USD,N/A,N/A,100%,-,VERY HIGH,VERY HIGH,-,-,9,Benchy,2.0,10,1.0,2.0,-,-,-,3.1,2018-07-15
BitImage,BIM,Ethereum,ERC20,Seychelles,42000 ETH,2000 ETH,,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,9,Benchy,5.0,10,3.0,4.0,3.5,9.5,-,3.5,2018-07-19
DNAtix,,Ethereum,ERC20,Israel,45000000 USD,1000000 USD,,N/A,N/A,N/A,-,LOW,LOW,-,-,8,Benchy,4.5,9,5.0,5.0,4.0,8.1,-,4.0,2018-12-15
Bitdepositary ICO,BDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,-,-,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-11-14
XTRIBE,XRBT,Ethereum,ERC20,Switzerland,25000000 USD,1000000 USD,,1250000000,1250000000 USD,N/A,-,-,-,-,MEDIUM,10,Benchy,2.3,1,3.1,2.8,3.1,7.2,-,3.1,2018-11-10
Spokkz,SPOKKZ,Ethereum,ERC20,Singapore,12000000 USD,5000000 USD,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,-,10,Benchy,4.4,10,4.2,3.8,4.0,9.1,-,4.0,2018-10-15
Birdchain,BIRD,Ethereum,ERC20,Estonia,10500 ETH,1500 ETH,1534291 USD,1050000,150000 ETH,16%,LOW,HIGH,HIGH,-,-,10,Benchy,4.4,10,3.7,4.5,-,-,-,4.1,2018-05-31
FLUX ICO,FLUX,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,"1 500 000.00",24%,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.0,8.2,-,N/A,2018-05-31
UNIC Advertising Network,UNIC,N/A,N/A,N/A,37000 ETH,N/A,,N/A,N/A,N/A,-,HIGH,HIGH,-,-,N/A,Benchy,4.4,N/A,4.4,4.7,3.5,7.4,4.7,3.5,2018-05-17
IAME Identity,IAM,N/A,N/A,N/A,"1,000,000","250,000",N/A,100000000,1500000000 USD,N/A,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,Benchy,4.1,N/A,4.5,4.3,-,-,-,4.0,2018-11-05
RAWG,RAWG,N/A,N/A,N/A,"333,333,333","66,666,667",N/A,1000000000,800000000 USD,62%,-,MEDIUM,MEDIUM,-,-,N/A,Benchy,4.9,N/A,4.4,4.4,4.3,8.9,-,4.3,2018-09-04
Slate,SLX,Slatechain,Utility,Canada,125000000 USD,20000000 USD,,12500000000,2000000000 USD,16%,MEDIUM,VERY LOW,VERY LOW,-,-,9,Benchy,N/A,10,N/A,N/A,-,-,-,3.9,2018-07-17
