ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,ih_end_date

ParkApp Pay,PRK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.8,5.1,3.4,N/A,2018-10-15
MB8 Coin,MB8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-08-31
DapCash ICO,DAPG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,VERY LOW,VERY LOW,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.9,2.7,N/A,2018-12-28
dueltoken.io,DUEL,N/A,N/A,N/A,300,000,000,2000 ETH,Unknown,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.0,3.2,-,2.0,2018-04-25
UNET,UNET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,8.1,-,N/A,2018-07-15
Ready Play Go,RPG,N/A,N/A,N/A,38888889 USD,6666667 USD,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.6,5.9,-,2.6,2018-10-15
MONEY TREE,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-05-01
FinTech Coin,,N/A,N/A,N/A,N/A,N/A,Unknown,1000000000,500000000,N/A,-,VERY LOW,VERY LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.6,5.1,-,2.6,2018-01-31
Bondkick Syndicate,XBK,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,-,LOW,LOW,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.7,6.5,2.3,2.7,2018-01-31
Capdax,XCD,N/A,N/A,N/A,18000000 USD,N/A,10926694 USD,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,2.1,2018-03-17
Bitdouble,,Bitcoin,32,300,000 BDBL (85%),Georgia,N/A,N/A,Unknown,N/A,N/A,N/A,-,VERY LOW,VERY LOW,VERY LOW,-,4,Benchy,N/A,1,N/A,N/A,2.4,4.2,-,2.4,Sep, 2018
Linkeye ICO,LET,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2018-01-31
Creditcoin ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY LOW,MEDIUM,MEDIUM,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2018-04-15
