ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
LoveBlock,DDD,Ethereum,ERC20,Singapore,N/A,N/A,N/A,-,-,-,VERY LOW,-,8,N/A,N/A,8,N/A,N/A,3.7,8.4,-,N/A
CAREONchain,REO,Bitshares,"Available for sale:165,000,000 REO (70%)",Seychelles,0 USD,0 USD,N/A,-,-,-,-,-,10,Benchy,N/A,10,N/A,N/A,-,-,-,0.2
AMOS,,Ethereum,ERC20,Taiwan,N/A,N/A,N/A,-,LOW,LOW,-,VERY LOW,8,N/A,N/A,9,N/A,N/A,2.5,7.7,-,N/A
The Deal Coin ICO,DLSD,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,VERY HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,8.1,-,N/A
Pool of Stake,PSK,N/A,N/A,N/A,"8,000,000 EUR","2,000,000 EUR",2320000 USD,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,N/A,Benchy,4.4,N/A,4.3,4.7,4.3,8.8,-,4.3
LoveBlock,DDD,Ethereum,ERC20,Singapore,N/A,N/A,N/A,-,-,-,VERY LOW,-,8,N/A,N/A,8,N/A,N/A,3.7,8.4,-,N/A
CAREONchain,REO,Bitshares,"Available for sale:165,000,000 REO (70%)",Seychelles,0 USD,0 USD,N/A,-,-,-,-,-,10,Benchy,N/A,10,N/A,N/A,-,-,-,0.2
Faceter,FACE,N/A,N/A,N/A,35578 ETH,5000000 USD,28610353 USD,-,MEDIUM,MEDIUM,HIGH,-,N/A,Benchy,4.5,N/A,4.5,4.6,-,-,-,4.5
PLAYHALL,PHT,Ethereum,ERC20,USA,16000 ETH,1500 ETH,870500 USD,VERY HIGH,LOW,LOW,VERY HIGH,VERY LOW,10,Benchy,N/A,10,N/A,N/A,3.4,9.8,4.2,3.4
FreeZone,FRZ,Ethereum,ERC20,Russia,100000000 USD,N/A,Unknown,MEDIUM,MEDIUM,MEDIUM,MEDIUM,-,8,Benchy,4.0,10,2.8,3.8,3.3,8.4,4.5,3.3
Profede,PATO,Ethereum,ERC20,Estonia,20000000 USD,1500000 USD,Unknown,VERY HIGH,VERY HIGH,VERY HIGH,HIGH,LOW,10,Benchy,4.0,10,3.8,3.9,3.9,9.6,-,3.9
ARBITRAGING,ARB,N/A,N/A,N/A,N/A,N/A,6000000 USD,VERY HIGH,-,-,VERY HIGH,-,N/A,Benchy,1.0,N/A,1.0,1.0,-,-,-,2.0
STRYKZ,STRY,Ethereum,ERC20,Germany,44500 ETH,8900 ETH,Unknown,VERY HIGH,-,-,VERY HIGH,-,9,Benchy,5.0,9,3.5,3.5,3.9,8.4,-,3.9
GreenX,GEX,Ethereum,ERC20,Singapore,"225,000,000",2500 ETH,1374240 USD,-,VERY HIGH,VERY HIGH,HIGH,LOW,10,Benchy,4.5,10,3.0,3.5,3.6,9.3,-,3.6
Hashbon,HASH,Ethereum,ERC20,Czech Republic,"10,000,000 EUR","1,000,000 EUR",N/A,VERY LOW,MEDIUM,MEDIUM,VERY LOW,-,6,Benchy,4.4,9,4.3,4.5,4.3,7.7,-,4.4
Bulleon,BUL,N/A,N/A,N/A,148009 ETH,N/A,Unknown,LOW,-,-,-,LOW,N/A,Benchy,4.7,N/A,4.4,4.5,-,-,-,4.3
REPU Platform ICO,REPU,N/A,N/A,N/A,N/A,N/A,N/A,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.5,8.6,4.2,N/A
MONEYNET,MNC,N/A,N/A,N/A,12500 ETH,1250 ETH,Unknown,-,LOW,LOW,-,VERY LOW,N/A,Benchy,4.0,N/A,4.4,4.0,-,-,-,4.0
EZPOS,EZP,Ethereum,ERC20,Singapore,"10,000,000","2,000,000",10450000 USD,-,LOW,LOW,VERY HIGH,VERY LOW,10,Benchy,4.2,10,4.1,4.6,4.1,9.6,4.5,4.1
Elementh,EEE,Ethereum,ERC20,Russia,30000 ETH,10000 ETH,7957302 USD,VERY HIGH,-,-,VERY HIGH,LOW,8,Benchy,3.9,9.6,3.9,3.8,-,-,-,3.8
WorldWiFi ICO,WT,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,-,-,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
GoChain,GOC,N/A,N/A,N/A,26500 ETH,2500 ETH,13685000 USD,-,VERY HIGH,VERY HIGH,MEDIUM,MEDIUM,N/A,Benchy,4.1,N/A,4.2,4.6,-,-,-,4.2
Robotina,ROX/ROX,Ethereum,ERC20,Slovenia,28500000 USD,10000000 USD,10000000 USD,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,LOW,8,Benchy,3.5,8,3.9,4.5,-,-,-,3.7
BITRUST,,Ethereum,Ethereum,UK,12000 ETH,6000 ETH,Unknown,-,-,-,VERY HIGH,VERY LOW,9,Benchy,N/A,10,N/A,N/A,2.8,8.6,-,2.8
BGX,BGX,Ethereum,ERC20,Switzerland,50000000 USD,4000000 USD,Unknown,VERY HIGH,-,-,LOW,VERY LOW,8,Benchy,3.3,10,3.4,3.9,-,-,-,3.6
Sancoj,SANC,Ethereum,ERC20,Nigeria,70000 ETH,500 ETH,Unknown,VERY HIGH,VERY HIGH,VERY HIGH,VERY HIGH,-,10,Benchy,N/A,10,N/A,N/A,3.0,9.3,-,3.0
ValPromise,VPP,Ethereum,ERC20,Singapore,20000 ETH,10000 ETH,N/A,-,-,-,VERY LOW,LOW,8,Benchy,N/A,1,N/A,N/A,-,-,-,2.8
Arizn,AALT,Ethereum,ECR20,South Africa,25000000 USD,2000000 USD,Unknown,VERY HIGH,VERY LOW,VERY LOW,VERY HIGH,-,9,Benchy,N/A,9,N/A,N/A,3.4,8.9,-,3.4
GEMERA,GEMA,Ethereum,ERC20,British Virgin Islands,30000000 USD,500000 USD,N/A,VERY HIGH,LOW,LOW,VERY HIGH,-,8,Benchy,3.5,10,3.7,3.9,3.8,8.8,-,3.8
